stim_type,jitter,background_freq,groups_period,group_size,groups_number,stim_time,on_time,is_manual_sequence,prob_stim,record_stage,output_group
Spontaneous,False,1,1000,1,1,5,20,True,False,True,[]
Order,False,1,1000,1,1,5,20,True,False,True,[]
Order,False,1,1000,1,1,50,20,True,False,False,[]
Order,False,1,1000,1,1,5,20,True,False,True,[]
Spontaneous,False,1,1000,1,1,5,20,True,False,True,[]
Order,False,1,1000,1,1,55,20,True,False,False,[]
Order,False,1,1000,1,1,5,20,True,False,True,[]
Spontaneous,False,1,1000,1,1,5,20,True,False,True,[]
Order,False,1,1000,1,1,55,20,True,False,False,[]
Order,False,1,1000,1,1,5,20,True,False,True,[]
Spontaneous,False,1,1000,1,1,5,20,True,False,True,[]
